Unnamed: 0_level_0_Squad,Unnamed: 1_level_0_# Pl,Unnamed: 2_level_0_90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Unnamed: 15_level_0_Int,Unnamed: 16_level_0_Tkl+Int,Unnamed: 17_level_0_Clr,Unnamed: 18_level_0_Err,Season,StatType
Arsenal,24,20.0,318,176,132,129,57,138,253,54.5,115,177,53,124,139,457,470,9,2025-2026,defense
Aston Villa,26,20.0,311,180,146,131,34,147,290,50.7,143,211,84,127,118,429,456,22,2025-2026,defense
Bournemouth,24,20.0,347,208,164,129,54,185,337,54.9,152,237,70,167,177,524,624,10,2025-2026,defense
Brentford,21,19.0,302,180,118,134,50,141,271,52.0,130,219,84,135,168,470,614,11,2025-2026,defense
Brighton,26,20.0,365,229,150,149,66,179,374,47.9,195,211,58,153,157,522,475,14,2025-2026,defense
Burnley,25,20.0,350,200,154,155,41,165,299,55.2,134,249,82,167,189,539,632,20,2025-2026,defense
Chelsea,25,19.0,306,189,131,120,55,151,257,58.8,106,163,46,117,189,495,424,14,2025-2026,defense
Crystal Palace,23,19.0,367,234,184,137,46,164,304,53.9,140,211,53,158,172,539,657,13,2025-2026,defense
Everton,20,19.0,338,196,165,124,49,165,303,54.5,138,243,91,152,153,491,606,20,2025-2026,defense
Fulham,23,19.0,331,187,171,123,37,160,268,59.7,108,188,67,121,154,485,562,13,2025-2026,defense
Leeds United,23,19.0,340,209,149,139,52,171,313,54.6,142,199,59,140,166,506,534,7,2025-2026,defense
Liverpool,23,19.0,253,165,111,102,40,127,239,53.1,112,204,58,146,124,377,538,15,2025-2026,defense
Manchester City,24,19.0,263,160,112,105,46,126,226,55.8,100,163,52,111,146,409,486,18,2025-2026,defense
Manchester Utd,26,19.0,349,201,146,144,59,168,315,53.3,147,189,55,134,149,498,509,12,2025-2026,defense
Newcastle Utd,24,19.0,262,171,108,125,29,125,268,46.6,143,193,56,137,141,403,534,15,2025-2026,defense
Nott'ham Forest,27,20.0,349,207,166,112,71,182,339,53.7,157,233,83,150,160,509,477,22,2025-2026,defense
Sunderland,26,19.0,319,182,173,111,35,183,311,58.8,128,210,85,125,159,478,645,16,2025-2026,defense
Tottenham,22,19.0,375,228,175,158,42,170,292,58.2,122,203,49,154,137,512,552,23,2025-2026,defense
West Ham,28,20.0,336,199,167,127,42,161,289,55.7,128,224,86,138,168,504,619,14,2025-2026,defense
Wolves,25,20.0,396,219,206,134,56,196,356,55.1,160,225,79,146,178,574,616,19,2025-2026,defense
Arsenal,25,38.0,598,348,220,249,129,260,515,50.5,255,328,106,222,225,823,680,33,2024-2025,defense
Aston Villa,28,38.0,637,372,293,249,95,310,546,56.8,236,329,107,222,240,877,788,43,2024-2025,defense
Bournemouth,29,38.0,691,399,290,299,102,301,627,48.0,326,459,136,323,351,1042,1013,22,2024-2025,defense
Brentford,28,38.0,633,380,289,223,121,314,596,52.7,282,480,199,281,285,918,1040,28,2024-2025,defense
Brighton,32,38.0,705,431,287,297,121,350,703,49.8,353,439,122,317,315,1020,762,29,2024-2025,defense
Chelsea,29,38.0,588,371,243,244,101,273,536,50.9,263,356,103,253,272,860,695,45,2024-2025,defense
Crystal Palace,29,38.0,767,450,374,300,93,324,643,50.4,319,485,144,341,334,1101,1088,19,2024-2025,defense
Everton,26,38.0,732,433,366,269,97,338,656,51.5,318,392,138,254,345,1077,1088,25,2024-2025,defense
Fulham,26,38.0,679,411,327,259,93,289,565,51.2,276,382,113,269,302,981,914,33,2024-2025,defense
Ipswich Town,32,38.0,589,340,294,214,81,281,604,46.5,323,436,185,251,303,892,1102,39,2024-2025,defense
Leicester City,32,38.0,728,431,361,278,89,336,695,48.3,359,505,198,307,327,1055,987,31,2024-2025,defense
Liverpool,24,38.0,642,391,271,267,104,340,656,51.8,316,367,97,270,299,941,724,31,2024-2025,defense
Manchester City,30,38.0,497,299,183,216,98,214,449,47.7,235,331,89,242,229,726,619,35,2024-2025,defense
Manchester Utd,31,38.0,817,493,394,305,118,400,723,55.3,323,386,107,279,358,1175,759,26,2024-2025,defense
Newcastle Utd,24,38.0,603,371,275,235,93,306,604,50.7,298,411,141,270,270,873,884,34,2024-2025,defense
Nott'ham Forest,23,38.0,698,419,406,225,67,343,670,51.2,327,427,157,270,322,1020,1220,24,2024-2025,defense
Southampton,36,38.0,652,378,310,266,76,280,584,47.9,304,433,201,232,305,957,988,51,2024-2025,defense
Tottenham,31,38.0,661,414,285,271,105,296,598,49.5,302,448,159,289,322,983,821,41,2024-2025,defense
West Ham,27,38.0,654,388,317,253,84,290,532,54.5,242,440,169,271,331,985,1037,28,2024-2025,defense
Wolves,32,38.0,801,471,412,305,84,373,669,55.8,296,437,137,300,298,1099,947,25,2024-2025,defense
Arsenal,25,38.0,610,348,257,246,107,271,543,49.9,272,412,106,306,292,902,515,18,2023-2024,defense
Aston Villa,31,38.0,547,311,269,210,68,260,550,47.3,290,389,113,276,236,783,597,13,2023-2024,defense
Bournemouth,30,38.0,693,410,301,281,111,325,688,47.2,363,504,153,351,357,1050,817,16,2023-2024,defense
Brentford,28,38.0,677,399,349,250,78,317,697,45.5,380,474,142,332,378,1055,903,18,2023-2024,defense
Brighton,30,38.0,644,366,292,252,100,307,658,46.7,351,437,140,297,288,932,603,21,2023-2024,defense
Burnley,31,38.0,607,342,282,247,78,284,584,48.6,300,477,169,308,280,887,837,22,2023-2024,defense
