team,players_used,minutes_90s,passes_completed,passes_attempted,passes_completion_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_attempted_short,passes_completion_pct_short,passes_completed_medium,passes_attempted_medium,passes_completion_pct_medium,passes_completed_long,passes_attempted_long,passes_completion_pct_long,assists,xag,xa,assists_minus_xag,key_passes,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,season,stat_type
Arsenal,24,16.0,7160,8650,82.8,124285,38289,3167,3522,89.9,3367,3782,89.0,509,1006,50.6,21,17.4,18.3,3.6,160,596,159,23,722,2025-2026,passing
Aston Villa,23,16.0,6270,7627,82.2,109371,37905,2800,3090,90.6,2755,3110,88.6,547,1034,52.9,18,13.4,12.8,4.6,140,486,127,24,579,2025-2026,passing
Bournemouth,24,15.0,5669,7233,78.4,99263,34166,2538,2868,88.5,2478,2858,86.7,516,1110,46.5,12,12.0,12.0,0.0,131,529,127,36,588,2025-2026,passing
Brentford,21,16.0,4857,6467,75.1,90027,34253,2017,2368,85.2,2158,2586,83.4,562,1201,46.8,9,12.7,10.7,-3.7,108,357,96,27,426,2025-2026,passing
Brighton,25,16.0,6532,7962,82.0,113761,38752,2991,3312,90.3,2836,3209,88.4,559,1039,53.8,15,17.5,13.5,-2.5,153,512,117,38,594,2025-2026,passing
Burnley,24,16.0,4986,6584,75.7,86540,31871,2414,2718,88.8,1968,2355,83.6,455,1093,41.6,12,9.9,9.1,2.1,99,382,91,27,405,2025-2026,passing
Chelsea,25,16.0,7637,9049,84.4,131314,41814,3534,3848,91.8,3453,3813,90.6,536,1063,50.4,21,21.5,18.9,-0.5,170,574,130,24,645,2025-2026,passing
Crystal Palace,22,16.0,4858,6476,75.0,88271,33900,2086,2435,85.7,2168,2559,84.7,510,1139,44.8,11,16.7,15.1,-5.7,120,361,104,27,488,2025-2026,passing
Everton,19,16.0,5170,6761,76.5,95318,34690,2216,2533,87.5,2329,2768,84.1,545,1130,48.2,14,15.0,14.1,-1.0,129,441,123,34,535,2025-2026,passing
Fulham,23,16.0,6513,8041,81.0,115299,38888,2804,3134,89.5,2979,3367,88.5,600,1136,52.8,14,13.1,13.4,0.9,137,476,128,31,590,2025-2026,passing
Leeds United,23,16.0,5617,7162,78.4,100063,35056,2422,2738,88.5,2513,2901,86.6,519,1111,46.7,8,12.8,10.6,-4.8,134,420,99,40,482,2025-2026,passing
Liverpool,22,16.0,7697,9240,83.3,131484,44138,3634,3997,90.9,3328,3739,89.0,585,1117,52.4,17,20.2,16.0,-3.2,196,711,168,36,812,2025-2026,passing
Manchester City,23,16.0,8118,9423,86.2,126314,38416,4343,4686,92.7,3076,3428,89.7,463,841,55.1,30,25.7,21.0,4.3,174,597,145,26,642,2025-2026,passing
Manchester Utd,21,15.0,6031,7616,79.2,104452,37555,2837,3215,88.2,2465,2907,84.8,559,1080,51.8,18,17.7,16.5,0.3,181,493,126,38,623,2025-2026,passing
Newcastle Utd,24,16.0,6327,7891,80.2,111641,39753,2832,3180,89.1,2783,3213,86.6,579,1158,50.0,12,14.9,13.8,-2.9,148,551,133,37,721,2025-2026,passing
Nott'ham Forest,27,16.0,6238,7812,79.9,108866,38606,2899,3217,90.1,2697,3113,86.6,533,1142,46.7,10,14.6,13.0,-4.6,143,553,141,47,664,2025-2026,passing
Sunderland,25,16.0,4944,6515,75.9,89747,32406,2110,2408,87.6,2189,2579,84.9,512,1144,44.8,12,8.3,7.8,3.7,104,407,93,24,466,2025-2026,passing
Tottenham,21,16.0,6069,7623,79.6,109794,36915,2518,2813,89.5,2913,3306,88.1,536,1152,46.5,20,11.5,10.9,8.5,108,479,106,41,557,2025-2026,passing
West Ham,27,16.0,5060,6547,77.3,87088,31589,2419,2706,89.4,1998,2335,85.6,482,1097,43.9,10,9.9,8.7,0.1,119,380,88,24,468,2025-2026,passing
Wolves,25,16.0,5405,6961,77.6,102242,36590,2203,2568,85.8,2489,2888,86.2,607,1207,50.3,6,9.0,9.7,-3.0,99,447,121,59,453,2025-2026,passing
Arsenal,25,38.0,17066,20241,84.3,278808,87055,8591,9363,91.8,7129,7999,89.1,1031,2022,51.0,55,45.3,45.7,9.7,428,1397,437,75,1826,2024-2025,passing
Aston Villa,28,38.0,14701,17797,82.6,252637,88182,6778,7510,90.3,6555,7386,88.7,1088,2065,52.7,45,41.7,36.9,3.3,358,1137,319,56,1344,2024-2025,passing
Bournemouth,29,38.0,12977,16900,76.8,233955,86767,5648,6514,86.7,5659,6670,84.8,1365,2819,48.4,41,43.8,36.5,-2.8,437,1242,339,106,1489,2024-2025,passing
Brentford,28,38.0,13358,17100,78.1,245539,93263,5849,6739,86.8,5826,6875,84.7,1449,2741,52.9,44,42.4,38.1,1.6,330,1104,325,91,1356,2024-2025,passing
Brighton,32,38.0,15820,19188,82.4,268916,90984,7629,8443,90.4,6541,7472,87.5,1313,2397,54.8,41,40.4,39.1,0.6,377,1189,339,87,1539,2024-2025,passing
Chelsea,29,38.0,18033,21320,84.6,311166,98339,8067,8802,91.6,8244,9120,90.4,1369,2547,53.7,47,52.7,41.8,-5.7,457,1488,346,73,1595,2024-2025,passing
Crystal Palace,29,38.0,11875,15754,75.4,213257,80237,5198,6077,85.5,5285,6317,83.7,1137,2545,44.7,38,46.4,36.6,-8.4,379,886,272,69,1158,2024-2025,passing
Everton,26,38.0,11405,14953,76.3,215027,85013,5039,5809,86.7,4604,5451,84.5,1526,2901,52.6,27,32.2,27.2,-5.2,298,1003,261,92,1041,2024-2025,passing
Fulham,26,38.0,16199,19753,82.0,289508,97635,7195,8007,89.9,7222,8198,88.1,1504,2703,55.6,44,37.5,35.0,6.5,398,1346,343,108,1558,2024-2025,passing
Ipswich Town,32,38.0,11524,14775,78.0,204832,77912,5157,5835,88.4,5115,5988,85.4,1021,2184,46.7,26,24.2,21.2,1.8,283,865,173,54,935,2024-2025,passing
Leicester City,32,38.0,13945,17486,79.7,234016,83996,6703,7482,89.6,5797,6664,87.0,1073,2370,45.3,25,25.1,24.1,-0.1,252,953,216,67,1082,2024-2025,passing
Liverpool,24,38.0,18303,21758,84.1,312343,104887,8615,9382,91.8,7893,8905,88.6,1412,2550,55.4,65,61.6,54.3,3.4,509,1583,430,83,1924,2024-2025,passing
Manchester City,30,38.0,21531,24443,88.1,349984,98901,11071,11923,92.9,8884,9710,91.5,1281,2040,62.8,51,54.2,53.8,-3.2,472,1685,440,62,1944,2024-2025,passing
Manchester Utd,31,38.0,16837,20415,82.5,278154,89708,8233,9125,90.2,6855,7768,88.2,1257,2438,51.6,29,39.7,35.6,-10.7,406,1141,335,73,1448,2024-2025,passing
Newcastle Utd,24,38.0,15416,18898,81.6,260464,91034,7416,8283,89.5,6475,7373,87.8,1193,2313,51.6,50,46.0,42.2,4.0,399,1149,399,70,1595,2024-2025,passing
Nott'ham Forest,23,38.0,10822,14366,75.3,185832,74897,5322,6094,87.3,4065,5011,81.1,1038,2339,44.4,42,33.0,29.9,9.0,333,974,241,64,1125,2024-2025,passing
Southampton,36,38.0,15530,18561,83.7,263566,84964,7279,7996,91.0,6699,7455,89.9,1175,2271,51.7,16,24.8,23.9,-8.8,269,989,218,60,1127,2024-2025,passing
Tottenham,31,38.0,16513,19960,82.7,275248,93006,7576,8440,89.8,7372,8289,88.9,1101,2084,52.8,47,44.4,36.3,2.6,375,1254,369,83,1593,2024-2025,passing
West Ham,27,38.0,14820,18363,80.7,258653,90743,6989,7831,89.2,6245,7153,87.3,1346,2580,52.2,29,33.9,32.0,-4.9,331,1075,267,72,1222,2024-2025,passing
Wolves,32,38.0,14472,17884,80.9,246100,83847,6855,7612,90.1,5909,6712,88.0,1251,2503,50.0,42,35.4,26.6,6.6,323,1011,276,72,1185,2024-2025,passing
Arsenal,25,38.0,19094,22558,84.6,309533,102210,9719,10643,91.3,7809,8765,89.1,1178,2162,54.5,62,55.3,57.8,6.7,513,1546,548,68,2106,2023-2024,passing
Aston Villa,31,38.0,16133,19363,83.3,281128,95293,7110,7878,90.3,7381,8273,89.2,1330,2368,56.2,55,48.6,42.5,6.4,398,1160,363,67,1451,2023-2024,passing
Bournemouth,30,38.0,11899,15920,74.7,220978,83235,4976,5868,84.8,5270,6214,84.8,1393,2964,47.0,39,40.5,33.7,-1.5,414,1074,352,88,1314,2023-2024,passing
Brentford,28,38.0,12551,16818,74.6,225971,88492,5616,6628,84.7,5236,6432,81.4,1382,2776,49.8,38,42.7,40.0,-4.7,332,965,333,106,1283,2023-2024,passing
Brighton,30,38.0,21810,25029,87.1,341060,113686,11574,12473,92.8,8261,9125,90.5,1296,2164,59.9,36,41.6,43.7,-5.6,429,1484,384,81,1780,2023-2024,passing
Burnley,31,38.0,13937,17959,77.6,246047,83556,6311,7267,86.8,6017,7042,85.4,1324,2755,48.1,30,29.7,26.6,0.3,326,976,216,54,1181,2023-2024,passing
Chelsea,32,38.0,20039,23364,85.8,328448,109853,10006,10877,92.0,8176,9060,90.2,1365,2328,58.6,51,51.4,43.1,-0.4,419,1351,352,51,1615,2023-2024,passing
Crystal Palace,26,38.0,12915,16754,77.1,225542,84922,6040,6920,87.3,5338,6287,84.9,1204,2608,46.2,43,38.7,31.5,4.3,353,995,273,60,1176,2023-2024,passing
Everton,26,38.0,11349,15514,73.2,208537,88374,5198,6091,85.3,4386,5405,81.1,1469,3057,48.1,17,38.1,31.8,-21.1,339,958,284,77,1129,2023-2024,passing
Fulham,25,38.0,16311,20237,80.6,290238,100538,7028,7907,88.9,7277,8347,87.2,1586,2853,55.6,40,37.6,33.6,2.4,379,1117,355,94,1467,2023-2024,passing
Liverpool,30,38.0,20376,24379,83.6,346550,118702,9656,10641,90.7,8627,9763,88.4,1637,2814,58.2,60,63.7,55.6,-3.7,598,1666,506,80,2110,2023-2024,passing
Luton Town,28,38.0,11048,15099,73.2,201475,81352,4969,5784,85.9,4443,5431,81.8,1289,2879,44.8,33,29.5,27.5,3.5,315,835,250,90,1113,2023-2024,passing
Manchester City,25,38.0,24616,27758,88.7,394064,112270,12895,13721,94.0,9449,10306,91.7,1652,2498,66.1,69,60.2,62.1,8.8,545,1890,484,65,2060,2023-2024,passing
Manchester Utd,31,38.0,15785,19538,80.8,260507,91226,7892,8866,89.0,5965,6943,85.9,1355,2517,53.8,36,40.1,34.6,-4.1,434,1202,338,50,1479,2023-2024,passing
Newcastle Utd,32,38.0,16117,19852,81.2,274265,96401,7681,8623,89.1,6722,7757,86.7,1358,2504,54.2,55,51.3,43.5,3.7,424,1107,380,76,1557,2023-2024,passing
Nott'ham Forest,33,38.0,11877,15679,75.8,210025,83097,5510,6417,85.9,4760,5855,81.3,1265,2493,50.7,43,37.9,27.8,5.1,325,905,244,61,1141,2023-2024,passing
Sheffield Utd,35,38.0,9531,13509,70.6,169894,71337,4492,5357,83.9,3739,4696,79.6,1042,2626,39.7,18,25.8,21.0,-7.8,257,701,198,48,884,2023-2024,passing
Tottenham,29,38.0,20649,24197,85.3,326221,111380,10630,11617,91.5,8361,9345,89.5,1089,1905,57.2,58,57.4,52.1,0.6,460,1588,454,65,2107,2023-2024,passing
West Ham,26,38.0,12568,16373,76.8,219336,85575,6043,6856,88.1,4817,5751,83.8,1330,2718,48.9,40,34.8,30.8,5.2,305,979,225,71,1207,2023-2024,passing
Wolves,27,38.0,15484,19175,80.8,255933,84649,7694,8577,89.7,6100,7016,86.9,1218,2527,48.2,36,31.8,27.6,4.2,316,910,239,61,1180,2023-2024,passing
