team,players_used,possession,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,Receiving_PrgR,season,stat_type
Arsenal,24,59.1,16.0,10409,892,2672,4848,2976,496,10407,274,118,43.1,127,46.4,5991,32672,17229,334,250,87,245,120,7062,712,2025-2026,possession
Aston Villa,23,52.8,16.0,9356,1265,3236,4007,2193,350,9356,298,115,38.6,143,48.0,5517,27924,14255,237,162,57,212,182,6156,571,2025-2026,possession
Bournemouth,24,52.3,15.0,9126,932,2868,3951,2409,375,9122,288,116,40.3,136,47.2,5085,28054,15470,285,226,74,244,128,5616,581,2025-2026,possession
Brentford,21,44.3,16.0,8435,1137,3174,3592,1760,337,8428,284,104,36.6,152,53.5,3920,20602,10105,191,125,59,251,133,4796,420,2025-2026,possession
Brighton,25,51.5,16.0,9871,1132,3362,4251,2363,403,9868,304,134,44.1,141,46.4,5945,31787,17440,322,202,90,273,167,6447,589,2025-2026,possession
Burnley,24,41.4,16.0,8483,1156,3033,3726,1792,261,8481,181,59,32.6,98,54.1,4407,19003,9542,154,118,41,208,131,4958,400,2025-2026,possession
Chelsea,25,58.4,16.0,10847,1048,3335,5148,2470,393,10846,324,126,38.9,152,46.9,6716,32069,17192,330,190,97,254,143,7565,635,2025-2026,possession
Crystal Palace,22,42.3,16.0,8440,1093,3208,3563,1759,369,8437,178,64,36.0,88,49.4,4319,20593,10769,201,145,50,226,134,4831,484,2025-2026,possession
Everton,19,44.3,16.0,8692,982,2837,3511,2428,379,8691,280,97,34.6,146,52.1,4670,23262,11319,233,191,74,274,140,5125,524,2025-2026,possession
Fulham,23,50.9,16.0,9874,1238,3632,4205,2108,364,9874,243,99,40.7,117,48.1,5648,29749,15395,293,196,71,246,128,6464,582,2025-2026,possession
Leeds United,23,45.9,16.0,9060,1027,3101,4139,1924,325,9057,273,97,35.5,140,51.3,4837,25111,13188,236,167,65,241,136,5572,475,2025-2026,possession
Liverpool,22,60.4,16.0,11118,1027,3179,4991,3032,480,11117,287,124,43.2,136,47.4,6808,32921,18101,369,255,108,251,124,7632,809,2025-2026,possession
Manchester City,23,57.3,16.0,11249,1002,3161,5160,3012,473,11247,379,168,44.3,160,42.2,7102,37245,20067,424,314,137,236,156,8060,633,2025-2026,possession
Manchester Utd,21,53.9,15.0,9432,946,2758,4304,2449,405,9428,234,92,39.3,116,49.6,5023,24736,13181,285,197,89,259,131,5976,621,2025-2026,possession
Newcastle Utd,24,51.4,16.0,9721,972,2982,4354,2476,368,9717,258,105,40.7,121,46.9,5668,26547,13136,262,167,68,229,130,6288,714,2025-2026,possession
Nott'ham Forest,27,50.8,16.0,9688,1000,3137,4119,2531,347,9687,266,116,43.6,127,47.7,5298,27160,13983,282,221,62,266,128,6193,654,2025-2026,possession
Sunderland,25,42.4,16.0,8288,1101,3040,3549,1781,265,8286,201,87,43.3,96,47.8,4581,23365,12106,205,155,44,200,108,4878,461,2025-2026,possession
Tottenham,21,53.0,16.0,9595,1108,3346,4052,2313,341,9595,353,149,42.2,168,47.6,5204,28339,13925,287,196,63,286,169,5999,552,2025-2026,possession
West Ham,27,42.7,16.0,8499,1139,2967,3749,1865,271,8498,272,111,40.8,129,47.4,4120,22503,10912,190,152,57,232,134,5015,460,2025-2026,possession
Wolves,25,45.8,16.0,8899,1144,3075,4031,1886,312,8898,232,103,44.4,97,41.8,4629,23460,11699,209,169,32,263,136,5361,450,2025-2026,possession
Arsenal,25,56.9,38.0,24056,1844,6064,10362,7808,1282,24054,726,320,44.1,316,43.5,14234,75544,40246,852,540,286,483,382,16894,1801,2024-2025,possession
Aston Villa,28,50.5,38.0,21699,2646,7301,9257,5362,951,21693,726,327,45.0,299,41.2,12334,68906,36242,720,448,212,508,386,14423,1331,2024-2025,possession
Bournemouth,29,48.5,38.0,21618,2217,6444,9314,6128,1005,21611,672,294,43.8,300,44.6,11733,69030,36709,754,534,228,597,350,12855,1474,2024-2025,possession
Brentford,28,47.9,38.0,21491,3282,8328,8055,5310,987,21485,627,265,42.3,293,46.7,11412,61938,31661,598,380,213,549,300,13153,1339,2024-2025,possession
Brighton,32,52.3,38.0,23677,2601,7503,10292,6153,1085,23670,797,338,42.4,382,47.9,13919,76882,41746,816,576,263,583,344,15637,1522,2024-2025,possession
Chelsea,29,57.1,38.0,25217,2410,7564,11375,6497,1115,25212,783,326,41.6,336,42.9,14501,78314,41394,861,493,317,466,297,17888,1576,2024-2025,possession
