Unnamed: 0_level_0_Squad,Unnamed: 1_level_0_# Pl,Unnamed: 2_level_0_90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Season,StatType
Arsenal,24,20.0,37,301,96,31.9,15.05,4.8,0.11,0.35,15.3,6,3,3,35.3,32.9,0.12,1.7,1.1,2025-2026,shooting
Aston Villa,26,20.0,32,230,86,37.4,11.5,4.3,0.14,0.37,17.3,9,0,0,23.3,23.3,0.11,8.7,8.7,2025-2026,shooting
Bournemouth,24,20.0,31,275,97,35.3,13.75,4.85,0.11,0.3,18.1,12,2,3,30.7,28.4,0.11,0.3,0.6,2025-2026,shooting
Brentford,21,19.0,27,180,67,37.2,9.47,3.53,0.12,0.33,15.0,2,5,7,28.1,22.6,0.13,-1.1,-0.6,2025-2026,shooting
Brighton,26,20.0,29,266,84,31.6,13.3,4.2,0.1,0.31,18.3,11,3,5,31.6,27.8,0.11,-2.6,-1.8,2025-2026,shooting
Burnley,25,20.0,20,178,57,32.0,8.9,2.85,0.1,0.32,17.9,10,2,2,17.6,16.1,0.09,2.4,1.9,2025-2026,shooting
Chelsea,25,19.0,32,268,89,33.2,14.11,4.68,0.11,0.34,16.6,10,2,2,32.6,31.0,0.12,-0.6,-1.0,2025-2026,shooting
Crystal Palace,23,19.0,21,220,69,31.4,11.58,3.63,0.08,0.25,16.3,2,4,4,31.1,28.0,0.13,-10.1,-11.0,2025-2026,shooting
Everton,20,19.0,19,200,57,28.5,10.53,3.0,0.09,0.32,16.2,7,1,1,21.8,21.0,0.11,-2.8,-3.0,2025-2026,shooting
Fulham,23,19.0,23,226,65,28.8,11.89,3.42,0.1,0.34,16.8,3,1,1,21.6,20.8,0.1,1.4,1.2,2025-2026,shooting
Leeds United,23,19.0,25,240,69,28.8,12.63,3.63,0.1,0.33,16.1,5,2,3,26.8,24.3,0.11,-1.8,-1.3,2025-2026,shooting
